Nome	Constelação	Área de Influência	Interpretação (Astrologia Horária)	 
Al Nitak	ζ Orionis	Poder e visibilidade	Em horária, Al Nitak indica exposição pública e reconhecimento, especialmente em assuntos ligados a liderança, competição e desempenho pessoal. Bem colocada, traz vitórias e prestígio, podendo representar uma figura de destaque que favorece o consulente. Se aflita, pode indicar vaidade excessiva ou atritos com superiores. Em questões jurídicas, favorece decisões rápidas, mas nem sempre imparciais. Em negócios, sugere expansão e visibilidade no mercado. Em relacionamentos, pode indicar atração intensa, porém marcada por disputas de protagonismo.	 
Al Pherg	η Piscium	Conclusões e encerramentos	Al Pherg, em horária, simboliza o fechamento de ciclos e a conclusão de processos. Indica que a questão tende a um desfecho claro, muitas vezes definitivo. Bem posicionada, traz encerramentos favoráveis, acordos e soluções. Se aflita, pode representar término abrupto, rompimentos ou resultados que, embora finais, não agradam totalmente ao consulente. Em assuntos de negócios, favorece liquidação de pendências. Em questões sentimentais, pode marcar o fim de uma fase ou relação, deixando espaço para novos começos.	 
Al Rescha	α Pisces	Conexões e alianças	Em horária, Al Rescha favorece uniões, contratos e reconciliações. Representa o ponto de ligação entre partes distintas, sugerindo acordos e cooperação. Bem aspectada, indica associações benéficas e parcerias duradouras. Se aflita, pode simbolizar alianças frágeis ou acordos feitos sob pressão, com risco de rompimento. Em assuntos jurídicos, sugere negociações e mediações. Em temas sentimentais, pode indicar reatamento ou formalização de compromisso, desde que haja equilíbrio entre as partes.	 
Al Risha	β Pisces	Equilíbrio e união	Em Astrologia Horária, Al Risha aponta para a importância de buscar harmonia e consenso. É favorável para perguntas sobre sociedades, casamentos ou acordos. Bem colocada, mostra que as partes envolvidas têm interesses complementares e disposição para cooperar. Se aflita, alerta para promessas não cumpridas e vínculos instáveis. Em negócios, incentiva acordos claros e transparentes. No amor, reforça vínculos por meio do diálogo e da compreensão mútua.	 
Al Shat	ν Capricornus	Responsabilidade e persistência	Al Shat, em horária, sugere foco em deveres e obrigações. Indica que a solução depende de esforço contínuo e disciplina. Bem aspectada, aponta para conquistas graduais e sólidas. Se aflita, pode indicar sobrecarga ou atrasos devido à falta de planejamento. Em questões financeiras, favorece investimentos de longo prazo. Em temas sentimentais, sugere relacionamentos baseados em compromisso e responsabilidade mútua.	 
Al Suhail	λ Velorum	Orientação e sabedoria	Em horária, Al Suhail representa conselheiros, guias e figuras de referência. Bem colocada, indica que a solução virá por meio de orientação especializada ou de uma figura sábia. Pode favorecer viagens de aprendizado ou decisões baseadas em experiência prévia. Se aflita, alerta contra seguir conselhos errados ou manipulação por parte de figuras respeitadas. Em negócios, favorece mentoria e planejamento estratégico. Em relações, sugere o valor do aconselhamento mútuo.	 
Al Tarf	β Cancer	Proteção e defesa	Em horária, Al Tarf simboliza a necessidade de resguardar recursos, interesses e pessoas. Bem aspectada, indica segurança e estabilidade, além de defesas bem estruturadas. Se aflita, alerta contra isolamento excessivo ou resistência a mudanças necessárias. Em questões jurídicas, favorece vitórias defensivas. No amor, pode indicar proteção emocional ou relações que funcionam como refúgio seguro.	 
Aldebaran	α Tauri	Honra e autoridade	Em horária, Aldebaran representa ascensão e reconhecimento. Bem colocada, garante vitórias justas. Se aflita, alerta para perdas por orgulho. Em negócios, favorece liderança. No amor, reforça compromisso.	 
Aldebaran	α Tauri	Honra e ascensão	Em horária, Aldebaran indica vitória honrosa e reconhecimento. Bem colocado, traz avanços significativos. Se aflito, risco de queda por orgulho. Em negócios, liderança sólida. No amor, compromisso.	 
Algieba	γ Leonis	Força e eloquência	Em horária, Algieba indica discurso persuasivo e autoridade. Bem colocada, favorece negociações. Se aflita, alerta para manipulação. Em negócios, favorece apresentações e liderança. No amor, charme e magnetismo.	 
Algieba	γ Leonis	Persuasão e influência	Em horária, Algieba sugere poder de convencimento. Bem colocada, favorece negociações e liderança. Se aflita, manipulação. Em negócios, sucesso em apresentações. No amor, magnetismo.	 
Algol	β Persei	Intensidade e crise	Algol, em horária, simboliza desafios extremos. Bem colocada, pode indicar transformação. Se aflita, sugere rupturas dramáticas. Em negócios, risco elevado. No amor, paixões turbulentas.	 
Algol	β Persei	Intensidade e desafio	Em horária, Algol simboliza situações extremas e transformadoras. Bem colocada, pode indicar renovação. Se aflita, rupturas dramáticas. Em negócios, risco alto. No amor, paixões turbulentas.	 
Algorab	δ Corvi	Estratégia e astúcia	Em horária, Algorab sugere planejamento e vigilância. Bem colocada, favorece ações calculadas. Se aflita, indica intriga. Em negócios, cuidado com informações confidenciais. No amor, atenção a segredos.	 
Algorab	δ Corvi	Estratégia e vigilância	Em horária, Algorab representa ações calculadas e atenção a detalhes. Bem colocada, favorece planejamento. Se aflita, intriga. Em negócios, cuidado com informações sigilosas. No amor, segredos.	 
Alhena	γ Geminorum	Talento e reconhecimento	Alhena, em horária, indica sucesso por meio de talentos específicos e habilidades cultivadas. Bem colocada, traz reconhecimento profissional e artístico. Se aflita, pode representar talentos subaproveitados ou dificuldades em se destacar. Em negócios, favorece a especialização. Em relacionamentos, sugere admiração mútua baseada em competências ou dons individuais.	 
Alhena	γ Geminorum	Arte e projeção	Em horária, Alhena favorece expressão artística. Bem colocada, garante reconhecimento. Se aflita, indica talento subutilizado. Em negócios, criatividade é chave. No amor, apreciação estética.	 
Alioth	ε Ursae Majoris	Direção e comando	Em horária, Alioth sugere liderança estratégica e habilidade em guiar projetos ou grupos. Bem aspectada, indica êxito em funções de comando. Se aflita, pode representar autoritarismo ou decisões mal recebidas. Em questões de carreira, favorece promoções e liderança reconhecida. Em temas afetivos, pode indicar relações onde um assume o papel de guia ou mentor.	 
Alkaid	η Ursae Majoris	Força e independência	Alkaid, em horária, aponta para ação direta e postura autossuficiente. Favorece iniciativas próprias e projetos independentes. Se aflita, alerta para isolamento ou falta de cooperação. Em questões de trabalho, indica sucesso por mérito próprio. No amor, pode mostrar necessidade de espaço e autonomia.	 
Alkaid	η Ursae Majoris	Independência e ação	Em horária, Alkaid estimula postura autossuficiente. Bem colocada, garante sucesso por mérito próprio. Se aflita, isolamento. Em negócios, projetos independentes. No amor, espaço pessoal.	 
Alkaid	η Ursae Majoris	Independência e decisão	Em horária, Alkaid reforça postura autossuficiente. Bem colocada, sucesso por mérito próprio. Se aflita, isolamento. Em negócios, projetos individuais. No amor, necessidade de espaço.	 
Alkes	α Crateris	Tradição e memória	Em horária, Alkes sugere ligação com tradições, registros e legados. Bem aspectada, indica resgate de memórias e uso de experiências passadas para resolver questões presentes. Se aflita, pode representar apego excessivo ao passado, dificultando avanços. Em negócios, favorece empresas familiares ou produtos tradicionais. No amor, reforça laços antigos.	 
Alkes	α Crateris	Tradição e segurança	Em horária, Alkes reforça ligação com passado e estabilidade. Bem colocada, preserva conquistas. Se aflita, apego excessivo. Em negócios, tradição como diferencial. No amor, vínculos antigos.	 
Alkes	α Crateris	Tradição e estabilidade	Em horária, Alkes indica ligação com o passado. Bem colocada, preserva conquistas. Se aflita, apego excessivo. Em negócios, tradição como diferencial. No amor, vínculos antigos.	 
Almach	γ Andromedae	Harmonia e beleza	Almach, em horária, indica harmonia estética e equilíbrio nas relações. Bem colocada, favorece reconciliações e acordos pacíficos. Se aflita, pode trazer conflitos por diferenças de valores. Em negócios, favorece áreas de arte, moda e design. No amor, simboliza união baseada em atração mútua.	 
Almach	γ Andromedae	Harmonia e beleza	Em horária, Almach promove reconciliações e harmonia. Bem colocada, acordos pacíficos. Se aflita, diferenças de valores. Em negócios, áreas estéticas. No amor, atração mútua.	 
Almach	γ Andromedae	Harmonia e estética	Em horária, Almach promove acordos e harmonia. Bem colocada, reconciliações. Se aflita, diferenças de valores. Em negócios, áreas de beleza. No amor, atração mútua.	 
Alnair	α Grus	Determinação e direção	Alnair, em horária, reforça determinação e objetividade. Favorece decisões rápidas e certeiras, especialmente em deslocamentos ou negociações. Se aflita, pode indicar teimosia ou decisões precipitadas. Em negócios, aponta para foco e clareza de metas. No amor, sugere direção clara nos relacionamentos.	 
Alnair	α Grus	Determinação e foco	Em horária, Alnair indica decisões certeiras. Bem colocada, ações rápidas e eficazes. Se aflita, teimosia. Em negócios, foco claro. No amor, clareza de intenções.	 
Alnair	α Grus	Determinação e precisão	Em horária, Alnair indica foco absoluto e decisão rápida diante de situações críticas. Bem colocada, favorece metas claras e resultados eficientes. Se aflita, alerta para obstinação prejudicial. Em negócios, simboliza visão estratégica. No amor, clareza de intenções e objetividade.	 
Alnasl	γ Sagittarii	Objetivo e precisão	Alnasl, em horária, indica que o caminho para a solução exige foco e pontaria certeira. Bem colocada, traz resultados rápidos e eficazes. Se aflita, pode representar tentativas mal direcionadas. Em negócios, favorece estratégias bem definidas. No amor, sugere clareza de intenções.	 
Alnasl	γ Sagittarii	Precisão e direção	Em horária, Alnasl simboliza foco claro e capacidade de atingir objetivos específicos. Bem posicionada, indica soluções rápidas e eficazes, especialmente em assuntos militares, jurídicos ou estratégicos. Se aflita, pode significar esforços mal direcionados ou metas inalcançáveis. Em negócios, favorece campanhas bem planejadas. No amor, sugere clareza nas intenções e objetividade nas decisões.	 
Alnath	β Tauri	Avanço e superação	Em horária, Alnath simboliza força para ultrapassar obstáculos. Bem posicionada, garante vitórias contra resistências. Se aflita, risco de confrontos desgastantes. Em negócios, indica expansão firme. No amor, superação de crises.	 
Alnilam	ε Orionis	Brilho e destaque	Em horária, Alnilam aponta para visibilidade e prestígio. Bem colocada, favorece fama e reconhecimento. Se aflita, alerta para orgulho excessivo e instabilidade da popularidade. Em negócios, indica destaque no mercado. No amor, pode significar atração intensa.	 
Alnilam	ε Orionis	Brilho e prestígio	Em horária, Alnilam aponta para grande visibilidade, destaque e reconhecimento público. Bem colocada, favorece sucesso em eventos, apresentações e situações que exijam protagonismo. Se aflita, alerta para orgulho excessivo ou instabilidade da reputação. Em negócios, favorece lançamentos e marketing. No amor, pode simbolizar fascínio e atração intensa.	 
Alnitak	ζ Orionis	Poder e liderança	Alnitak, em horária, reforça comando e protagonismo. Bem posicionada, favorece vitórias e posições de destaque. Se aflita, indica conflitos por liderança. Em negócios, sugere expansão. No amor, pode mostrar disputas de poder no relacionamento.	 
Alnitak	ζ Orionis	Autoridade e comando	Em horária, Alnitak reforça liderança e iniciativa. Bem posicionada, garante vitórias em disputas e ascensão profissional. Se aflita, indica rivalidades e disputas de poder. Em negócios, favorece projetos de expansão. No amor, pode representar relações marcadas por forte presença e comando.	 
Alniyat	σ Scorpii	Combate e energia	Em horária, Alniyat reforça coragem e determinação em conflitos. Bem colocada, traz conquistas rápidas. Se aflita, risco de precipitação. Em negócios, simboliza ação ousada. No amor, paixão combativa.	 
Alphard	α Hydrae	Independência e intensidade	Alphard, em horária, indica posturas independentes e intensas. Bem colocada, favorece soluções criativas e não convencionais. Se aflita, alerta para comportamentos impulsivos ou solitários. Em negócios, pode indicar ações arriscadas porém inovadoras. No amor, simboliza relações intensas, às vezes possessivas.	 
Alphard	α Hydrae	Independência e intensidade	Em horária, Alphard sugere ações autônomas e determinação em seguir caminhos próprios. Bem colocada, favorece soluções criativas e inusitadas. Se aflita, alerta para isolamento ou impulsividade. Em negócios, indica decisões ousadas. No amor, simboliza relações intensas e exclusivas.	 
Alphecca	α Coronae Borealis	Honra e distinção	Em horária, Alphecca representa reconhecimento e prestígio alcançados por mérito e conduta exemplar. Bem colocada, indica respostas favoráveis para questões sobre promoções, prêmios e alianças benéficas. Em casos de disputas, pode significar vitória limpa e respeitada. Se aflita, alerta para perdas de reputação ou reconhecimento tardio. Em negócios, favorece o lançamento de produtos ou ideias que exijam credibilidade. No amor, simboliza relacionamentos transparentes e respeitosos.	 
Alphecca	α Coronae Borealis	Honra e mérito	Em horária, Alphecca representa reconhecimento conquistado pelo mérito e pela reputação ilibada. Bem colocada, traz respostas positivas em questões de carreira e prestígio. Se aflita, alerta para perda de status ou falta de reconhecimento. Em negócios, indica produtos ou serviços que ganham credibilidade. No amor, sugere relações honestas e respeitosas.	 
Alpheratz	α Andromedae	Liberdade e destaque	Em horária, Alpheratz indica libertação de restrições e alcance de novas possibilidades. Bem posicionada, favorece viagens, contratos e associações vantajosas. Se aflita, pode indicar mudanças forçadas ou afastamentos. Em negócios, sugere oportunidades vindas de contatos externos. No amor, indica desejo de mais autonomia.	 
Alpheratz	α Andromedae	Liberdade e oportunidades	Em horária, Alpheratz simboliza rompimento de barreiras e acesso a novas possibilidades. Bem colocada, favorece viagens, contratos e parcerias externas. Se aflita, pode indicar mudanças forçadas. Em negócios, sugere oportunidades vindas de contatos distantes. No amor, indica necessidade de liberdade.	 
Alpherg	η Pisces	Fechamentos e transições	Alpherg, em horária, indica fases de encerramento e reorganização. Bem colocada, aponta para conclusões construtivas e mudanças bem planejadas. Se aflita, pode significar rupturas abruptas ou perdas inevitáveis. Em negócios, favorece o encerramento de ciclos para dar espaço a novos projetos. No amor, pode marcar fim ou redefinição de uma relação.	 
Alpherg	η Pisces	Conclusões e transições	Em horária, Alpherg aponta para encerramento de ciclos e adaptação a novas fases. Bem colocada, garante mudanças construtivas. Se aflita, rupturas súbitas. Em negócios, fechamento estratégico. No amor, redefinição da relação.	 
Alrescha	α Pisces	União e mediação	Em horária, Alrescha simboliza acordos e reconciliações. Bem colocada, indica soluções negociadas e parcerias sólidas. Se aflita, alerta para alianças frágeis ou temporárias. Em negócios, favorece associações estratégicas. No amor, representa reconciliação e reforço de vínculos.	 
Alrescha	α Pisces	Acordo e união	Em horária, Alrescha simboliza pactos e reconciliações. Bem posicionada, reforça parcerias sólidas. Se aflita, alerta para acordos frágeis. Em negócios, associações estratégicas. No amor, reconciliação.	 
Altair	α Aquilae	Agilidade e ação	Altair, em horária, favorece decisões rápidas e ações eficazes. Bem colocada, indica êxito em iniciativas urgentes. Se aflita, pode apontar impulsividade ou erros por pressa. Em negócios, sugere dinamismo e competitividade. No amor, indica relações intensas e movimentadas.	 
Altair	α Aquilae	Rapidez e ação	Em horária, Altair representa decisões rápidas e eficientes. Bem colocada, indica êxito em tarefas urgentes. Se aflita, alerta para precipitação. Em negócios, favorece negociações dinâmicas. No amor, sugere relações intensas e impulsivas.	 
Aludra	η Canis Majoris	Proteção e cuidado	Em horária, Aludra representa amparo e solidariedade. Bem colocada, indica auxílio inesperado e relações de confiança. Se aflita, alerta para dependência excessiva. Em negócios, favorece apoio de aliados influentes. No amor, indica laços protetores.	 
Aludra	η Canis Majoris	Apoio e proteção	Em horária, Aludra indica amparo e solidariedade. Bem colocada, sugere auxílio de aliados influentes. Se aflita, alerta para dependência excessiva. Em negócios, favorece parcerias de confiança. No amor, simboliza relações protetoras.	 
Ancha	θ Aquarii	Estabilidade e segurança	Em horária, Ancha indica solidez e confiança. Bem colocada, favorece apoio institucional. Se aflita, estagnação. Em negócios, estabilidade financeira. No amor, segurança emocional.	 
Angetenar	τ Eridani	Adaptação e flexibilidade	Em horária, Angetenar simboliza capacidade de ajuste a novas situações. Bem colocada, garante êxito em mudanças. Se aflita, instabilidade. Em negócios, versatilidade. No amor, maleabilidade.	 
Ankaa	α Phoenicis	Renovação e iniciativa	Ankaa, em horária, simboliza novos começos e coragem para empreender. Bem colocada, favorece inícios prósperos. Se aflita, pode indicar falta de preparo ou precipitação. Em negócios, sugere pioneirismo. No amor, indica renovação de sentimentos.	 
Ankaa	α Phoenicis	Início e renovação	Em horária, Ankaa aponta para novos começos e coragem para empreender. Bem colocada, indica inícios promissores. Se aflita, alerta para precipitação. Em negócios, favorece inovação. No amor, sugere renovação de sentimentos.	 
Ankaa	α Phoenicis	Início e renovação	Em horária, Ankaa indica novos começos. Bem colocada, favorece iniciativas pioneiras. Se aflita, risco de precipitação. Em negócios, inovação. No amor, renovação de sentimentos.	 
Antares	α Scorpii	Paixão e poder	Em horária, Antares indica intensidade e confronto. Bem colocada, favorece vitórias decisivas. Se aflita, alerta para perdas por excesso de ousadia. Em negócios, sugere disputas acirradas. No amor, indica relações passionais.	 
Antares	α Scorpii	Paixão e confronto	Em horária, Antares simboliza energia intensa e vitórias decisivas. Bem colocada, favorece conquistas rápidas. Se aflita, indica perdas por excesso de ousadia. Em negócios, sugere disputas competitivas. No amor, paixão intensa.	 
Antares	α Scorpii	Paixão e intensidade	Em horária, Antares indica confrontos e grandes mudanças. Bem colocada, vitória decisiva. Se aflita, perdas por ousadia. Em negócios, disputas. No amor, paixão avassaladora.	 
Arcturus	α Bootis	Sucesso e proteção	Arcturus, em horária, traz êxito e apoio poderoso. Bem colocada, indica resultados rápidos e benéficos. Se aflita, pode indicar resistência a mudanças. Em negócios, favorece empreendimentos sólidos. No amor, sugere estabilidade.	 
Arcturus	α Bootis	Sucesso e apoio	Em horária, Arcturus representa êxito e auxílio influente. Bem colocado, indica resultados positivos rápidos. Se aflito, pode indicar resistência a mudanças. Em negócios, favorece estabilidade. No amor, reforça segurança.	 
Arcturus	α Bootis	Êxito e proteção	Em horária, Arcturus representa conquistas seguras e apoio poderoso. Bem colocada, sucesso rápido. Se aflita, resistência a mudanças. Em negócios, estabilidade. No amor, compromisso sólido.	 
Aspidiske	ι Carinae	Proteção e honra	Em horária, Aspidiske simboliza defesa e prestígio. Bem colocada, preserva reputação. Se aflita, risco de perda de apoio. Em negócios, confiança de parceiros. No amor, lealdade.	 
Atria	α Trianguli Australis	Honra e liderança	Em horária, Atria reforça posição de destaque. Bem colocada, autoridade respeitada. Se aflita, queda de prestígio. Em negócios, liderança consolidada. No amor, admiração mútua.	 
Avior	ε Carinae	Proteção e estabilidade	Em horária, Avior simboliza segurança e apoio firme. Bem colocado, traz solidez. Se aflito, dependência. Em negócios, estabilidade de longo prazo. No amor, confiança.	 
Azha	η Eridani	Flexibilidade e adaptação	Em horária, Azha favorece ajustes rápidos. Bem colocada, superação de desafios. Se aflita, instabilidade. Em negócios, adaptação a mercados. No amor, mudanças positivas.	 
Baten Kaitos	ζ Ceti	Resistência e persistência	Em horária, Baten Kaitos indica perseverança em períodos difíceis. Bem colocada, vitória pela paciência. Se aflita, demora excessiva. Em negócios, continuidade. No amor, constância.	 
Bellatrix	γ Orionis	Coragem e estratégia	Em horária, Bellatrix reforça ação tática e determinação. Bem colocada, vitória inteligente. Se aflita, risco de cálculo errado. Em negócios, negociações estratégicas. No amor, superação de desafios.	 
Betelgeuse	α Orionis	Prestígio e influência	Em horária, Betelgeuse indica reconhecimento e impacto pessoal. Bem colocada, reputação forte. Se aflita, queda por orgulho. Em negócios, imagem sólida. No amor, fascínio.	 
Biham	θ Pegasi	Prudência e observação	Em horária, Biham sugere análise cuidadosa antes de agir. Bem colocado, evita erros. Se aflito, indecisão. Em negócios, planejamento. No amor, cautela.	 
Botein	δ Arietis	Planejamento e paciência	Em horária, Botein indica progresso gradual. Bem colocada, estabilidade em crescimento. Se aflita, lentidão excessiva. Em negócios, consolidação. No amor, maturidade.	 
Canopus	α Carinae	Guia e direção	Em horária, Canopus simboliza liderança sábia e a capacidade de conduzir outros ao objetivo certo. Bem colocada, favorece viagens, mudanças de rota e decisões estratégicas. Se aflita, indica direção errada ou conselho prejudicial. Em negócios, guia para expansão segura. No amor, sugere parceiros experientes.	 
Capella	α Aurigae	Proteção e nutrição	Em horária, Capella representa cuidado e apoio mútuo. Bem colocada, reforça segurança material e emocional. Se aflita, dependência excessiva. Em negócios, proteção de recursos. No amor, afeto protetor.	 
Caph	β Cassiopeiae	Comunicação e expressão	Em horária, Caph indica clareza e franqueza. Bem colocada, resolve mal-entendidos. Se aflita, má interpretação. Em negócios, boa comunicação. No amor, diálogos construtivos.	 
Castor	α Geminorum	Dualidade e habilidade	Em horária, Castor simboliza versatilidade e competência técnica. Bem colocado, favorece multitarefas. Se aflito, dispersão. Em negócios, múltiplas fontes de renda. No amor, relações dinâmicas.	 
Cebalrai	β Ophiuchi	Estabilidade e prudência	Em horária, Cebalrai indica solidez e cautela. Bem colocado, garante segurança. Se aflito, excesso de conservadorismo. Em negócios, manutenção de posição. No amor, constância.	 
Celaeno	16 Tauri	Discrição e reserva	Em horária, Celaeno simboliza eventos discretos e informações veladas. Bem colocada, favorece confidencialidade. Se aflita, segredos prejudiciais. Em negócios, sigilo estratégico. No amor, relações reservadas.	 
Cervantes	μ Arae	Resistência e persistência	Em horária, Cervantes indica firmeza diante de desafios. Bem colocado, perseverança bem-sucedida. Se aflito, teimosia. Em negócios, projetos de longo prazo. No amor, durabilidade.	 
